"","Estimate","Std. Error","z value","Pr(>|z|)"
"Nod_count:Strain070",-0.0933518797995791,0.112058670168988,-0.833062534641911,0.404809461888249
"Nod_count:Strain071",-0.0952447215289002,0.139757693411067,-0.681498951537204,0.495555829956859
"Nod_count:Strain072",-0.0845704377936414,0.136806362466986,-0.618176203713112,0.536459194362775
"Nod_count:Strain073",-0.082464983182563,0.170174884169459,-0.484589624285832,0.627967475179122
"Nod_count:Strain074",-0.0559431454324842,0.121565327996408,-0.460189976488502,0.645379865025103
"Nod_count:Strain075",-0.0693174510725068,0.110030952822504,-0.629981376098104,0.52870676928778
"Nod_count:Strain076",-0.0778567816600312,0.107630758552323,-0.723369255287582,0.469453054646015
"Nod_count:Strain077",-0.101324722175493,0.111725294014777,-0.90690942520224,0.364454696545934
"Nod_count:Strain078",-0.0864608425131919,0.114557295544765,-0.754738858856931,0.450405685762603
"Nod_count:Strain079",-0.0920356187037514,0.115436510527779,-0.797283444232346,0.42528643324806
"Nod_count:Strain080",-0.101539064040823,0.163957207254349,-0.61930222977819,0.535717275815637
"Nod_count:Strain081",-0.122626837226039,0.217238587654075,-0.56447999662614,0.572427509884618
"Nod_count:Strain082",-0.143373994703236,0.179014313251998,-0.800907995001544,0.423184911299094
"Nod_count:Strain083",-0.125090074375316,0.157546386847811,-0.793988849113705,0.427201922981373
"Nod_count:Strain084",-0.104272352799981,0.113131135606639,-0.921694564814934,0.356687916420964
"Nod_count:Strain085",-0.0948404699869669,0.108737395982317,-0.872197362555841,0.383100718099885
"Nod_count:Strain086",-0.130131806099863,0.157806934122092,-0.824626666906679,0.409583576890794
"Nod_count:Strain087",-0.0882304846852417,0.127337672847021,-0.692885952072006,0.488381126262076
"Nod_count:Strain088",-0.0649343182706745,0.120771798675833,-0.537661266807547,0.590810924461725
"Nod_count:Strain089",-0.0748282652544745,0.158134473820785,-0.473193880160995,0.63607486350946
"Nod_count:Strain090",-0.193026493057528,0.184302541409518,-1.04733495035549,0.294945121905446
"Nod_count:Strain091",-0.0210760852764412,0.1842883621361,-0.114364711000449,0.908948686954764
"Nod_count:Strain092",-0.109314424201183,0.147951368005316,-0.73885375765674,0.459995804522423
"Nod_count:Strain093",-0.0854554661528334,0.123942573406246,-0.689476293773056,0.490523586478836
"Nod_count:Strain094",-0.120592967932143,0.150371438953427,-0.801967240397907,0.42257190847283
"Nod_count:Strain095",-0.0376762433032063,0.109421783874695,-0.344321230828693,0.730604719461624
"Nod_count:Strain096",-0.118870430701295,0.210680608425669,-0.564221033865269,0.572603714721526
"Nod_count:Strain097",-0.126986927120539,0.202383910948538,-0.627455643708898,0.530360603041796
"Nod_count:Strain098",-0.0387326818132071,0.131825441616977,-0.293817956064551,0.768897013437996
"Nod_count:Strain099",-0.187434316308838,0.161893137000137,-1.15776567050325,0.246959676357386
"Nod_count:Strain100",-0.0624252623732874,0.107823209793527,-0.578959414144941,0.562616558834139
"Nod_count:Strain101",-0.110770861101345,0.135537252159108,-0.817272442348991,0.413772751587823
"Nod_count:Strain102",-0.107028458947709,0.120107356068776,-0.891106610376317,0.372871978950912
"Nod_count:Strain103",-0.0967661259801709,0.112814901609168,-0.857742413457077,0.391034714397417
"Nod_count:Strain104",-0.167430270577955,0.268769337575592,-0.622951531927872,0.533316372704384
"Nod_count:Strain105",-0.0898365997694057,0.150182269256804,-0.598183795024362,0.549717302942248
"Nod_count:Strain106",-0.0707222847955972,0.264390175797777,-0.267492105492188,0.789090291703421
"Nod_count:Strain107",-0.0810590718307765,0.129853439848446,-0.624235075523466,0.53247321478803
"Nod_count:Strain108",-0.0916142246956361,0.163107378410994,-0.561680443816519,0.574333760817409
"Nod_count:Strain109",-0.265162130624414,0.556797090918492,-0.476227579039615,0.633912253480596
"Nod_count:Strain110",-0.136915714292447,0.144464905175715,-0.94774377296628,0.3432599109816
"Nod_count:Strain111",-0.0722684915651853,0.136111230154713,-0.530951718554305,0.595452237076521
"Nod_count:Strain112",-0.355543521160338,0.511447816456119,-0.69517066985238,0.486948350874957
"Nod_count:Strain113",-0.0658770391708042,0.120510031811791,-0.546651910885636,0.584617898118393
"Nod_count:Strain114",-0.074899884445279,0.127318047075538,-0.588289611455009,0.556337917354168
"Nod_count:Strain115",-0.115089836443736,0.175988060956414,-0.653963887199371,0.513135072004788
"Nod_count:Strain116",-0.0847686255623639,0.140788102615197,-0.602100774055135,0.547107059320202
"Nod_count:Strain117",-0.12178958477324,0.199284018858734,-0.611135732161104,0.541109725948559
"Nod_count:Strain118",-0.077253799294299,0.36470074627596,-0.211827916677316,0.832241288342435
"Nod_count:Strain119",-0.089151612733694,0.151684994408533,-0.587741807166382,0.556705609301364
"Nod_count:Strain120",-0.0784120641392118,0.119303097663727,-0.657250865021353,0.511019624402621
"Nod_count:Strain121",-0.193558311184369,0.293470811160099,-0.659548765409504,0.509543442150398
"Nod_count:Strain122",-0.0563342118839382,0.11875103468973,-0.47438922979599,0.635222371884038
"Nod_count:Strain123",-0.105256071724776,0.1137612993669,-0.925236194650932,0.354843060019137
"VarietyS:Strain002",-0.52963669093264,3.12292657803816,-0.169596267378582,0.865327658224784
"VarietyV:Strain002",0.749851644830502,10.2608468574944,0.073078923722833,0.941743313238846
"VarietyS:Strain003",-4.16566812845195,10.1040174225521,-0.412278399199333,0.680135379295138
"VarietyV:Strain003",-0.183618051463312,10.7202083151454,-0.0171282167347344,0.986334328512774
"VarietyS:Strain004",-2.24850944952474,3.87070071277368,-0.580905013426754,0.561304473276461
"VarietyV:Strain004",1.03070768799986,6.71533787938327,0.153485603630493,0.878015342429608
"VarietyS:Strain005",-4.52598023804768,38.3626923093445,-0.117978691421124,0.906084541735283
"VarietyV:Strain005",-4.61893155689051,10.3785912096442,-0.445044174453889,0.656287830926583
"VarietyS:Strain006",2.80189930239496,13.1787833407703,0.212606826437985,0.83163364644983
"VarietyV:Strain006",-0.00870734812825046,7.42402120607465,-0.00117286143001932,0.999064192187577
"VarietyS:Strain007",-1.52707647350356,8.15361197703003,-0.187288342614974,0.851434562516605
"VarietyV:Strain007",1.35302369512663,8.65993147282282,0.156239538311912,0.87584421233418
"VarietyS:Strain008",-2.17600998598567,6.50612979983612,-0.334455360242042,0.73803597061686
