"Strain","Variety","Source_variety","Rep","Rootweight_g","Shootweight_g","Nod_lobe","Nod_unlobed","Label","Nod_count","prop_lobe","Biomass_g"
"098","V","ON","d",0.132,0.249,18,29,"098_V_d",47,0.382978723404255,0.381
"098","O","ON","d",0.12,0.229,10,33,"098_O_d",43,0.232558139534884,0.349
"099","S","ON","a",0.339,0.503,18,26,"099_S_a",44,0.409090909090909,0.842
"099","O","ON","a",0.153,0.333,12,23,"099_O_a",35,0.342857142857143,0.486
"099","V","ON","a",0.146,0.343,10,15,"099_V_a",25,0.4,0.489
"099","V","ON","b",0.008,0.164,8,10,"099_V_b",18,0.444444444444444,0.172
"099","S","ON","b",0.199,0.391,4,47,"099_S_b",51,0.0784313725490196,0.59
"099","O","ON","b",0.236,0.349,20,3,"099_O_b",23,0.869565217391304,0.585
"099","O","ON","c",0.238,0.342,13,33,"099_O_c",46,0.282608695652174,0.58
"099","V","ON","c",0.032,0.157,14,24,"099_V_c",38,0.368421052631579,0.189
"099","O","ON","d",0.118,0.193,7,50,"099_O_d",57,0.12280701754386,0.311
"099","V","ON","d",0.215,0.38,9,16,"099_V_d",25,0.36,0.595
"100","V","ON","a",0.066,0.199,19,42,"100_V_a",61,0.311475409836066,0.265
"100","O","ON","a",0.043,0.075,4,51,"100_O_a",55,0.0727272727272727,0.118
"100","O","ON","b",0.144,0.295,11,29,"100_O_b",40,0.275,0.439
"100","V","ON","b",0.076,0.339,11,24,"100_V_b",35,0.314285714285714,0.415
"100","V","ON","c",0.005,0.025,6,3,"100_V_c",9,0.666666666666667,0.03
"100","S","ON","c",0.299,0.582,21,15,"100_S_c",36,0.583333333333333,0.881
"100","O","ON","c",0.176,0.338,34,89,"100_O_c",123,0.276422764227642,0.514
"100","V","ON","d",0.03,0.056,25,7,"100_V_d",32,0.78125,0.086
"100","O","ON","d",0.131,0.312,4,32,"100_O_d",36,0.111111111111111,0.443
"100","S","ON","d",0.389,0.654,31,41,"100_S_d",72,0.430555555555556,1.043
"101","V","ON","a",0.067,0.174,6,13,"101_V_a",19,0.31578947368421,0.241
"101","O","ON","a",0.098,0.241,17,38,"101_O_a",55,0.309090909090909,0.339
"101","S","ON","a",0.183,0.369,11,31,"101_S_a",42,0.261904761904762,0.552
"101","S","ON","b",0.096,0.135,6,49,"101_S_b",55,0.109090909090909,0.231
"101","O","ON","b",0.151,0.283,3,123,"101_O_b",126,0.0238095238095238,0.434
