Plant,Nodule,Ind.Label,Nodule.area,Nodule.lobes,dilution.counted,spot.1,spot.2,spot.3,spot.4,spot.5,spot.avg,Counted by,Comments,Lianas rhizobia released per nodule calculation,Morphology
077.O.b,6,077.O.b.6,0.048,2,6,2,2,5,2,,2.75,SG,,13750000,R
077.O.c,1,077.O.c.1,0.029,1,,,,,,,#DIV/0!,SG,MERGED,#DIV/0!,R
077.O.c,2,077.O.c.2,0.039,1,,,,,,,#DIV/0!,SG,"MERGED,NO GROWTH IN 4",#DIV/0!,R
077.O.c,3,077.O.c.3,0.032,1,,,,,,,#DIV/0!,SG,MERGED+CONTA,#DIV/0!,R
077.O.c,4,077.O.c.4,0.12,more than 5,,,,,,,#DIV/0!,SG,CONTA,#DIV/0!,R
077.O.c,5,077.O.c.5,0.091,2,,,,,,,#DIV/0!,SG,NO GROWTH,#DIV/0!,R
077.O.c,6,077.O.c.6,0.106,4,5,4,6,10,11,3,6.8,SG,,3400000,R
077.S.a,1,077.S.a.1,0.033,2,3,30,19,17,31,25,24.4,SG,This plate had conta.the rhizobia was growing in between the widespread conta,122000,R
077.S.a,2,077.S.a.2,0.03,1,5,6,6,3,2,1,3.6,SG,MERGED,1800000,R
077.S.a,3,077.S.a.3,0.027,1,,,,,,,#DIV/0!,SG,MERGED,#DIV/0!,R
077.S.a,4,077.S.a.4,0.055,4,5,4,7,6,0,0,3.4,SG,,1700000,R
077.S.a,5,077.S.a.5,0.079,4,5,36,3,31,16,0,17.2,SG,VERY TINY COLONIES;FURTHER INCUBATED;very tiny colonies,8600000,R
077.S.a,6,077.S.a.6,0.145,more than 5,6,10,8,8,7,5,7.6,SG,,38000000,R
077.S.b,1,077.S.b.1,0.013,1,4,127,124,124,104,120,119.8,SG,,5990000,R
077.S.b,2,077.S.b.2,0.025,1,4,31,20,32,24,34,28.2,,,1410000,R
077.S.b,3,077.S.b.3,0.044,2,5,7,12,10,7,4,8,SG,MERGED,4000000,R
077.S.b,4,077.S.b.4,0.067,2,6,30,52,34,12,21,29.8,SG,,149000000,R
077.S.b,5,077.S.b.5,0.06,2,5,18,28,20,29,19,22.8,SG,,11400000,R
077.S.b,6,077.S.b.6,0.06,2,,,,,,,#DIV/0!,SG,Merged,#DIV/0!,R
077.S.c,1,077.S.c.1,0.021,1,4,3,2,2,1,4,2.4,SG,,120000,R
077.S.c,2,077.S.c.2,0.02,1,,,,,,,#DIV/0!,SG,Merged,#DIV/0!,R
077.S.c,3,077.S.c.3,0.039,2,,,,,,,#DIV/0!,SG,MERGED+CONTA,#DIV/0!,R
077.S.c,4,077.S.c.4,0.042,2,5,8,2,3,3,5,4.2,SG,,2100000,R
077.S.c,5,077.S.c.5,0.066,3,,,,,,,#DIV/0!,SG,Conta+no growth,#DIV/0!,R
