Plant,Nodule,Ind.Label,Nodule.area,Nodule.lobes,dilution.counted,spot.1,spot.2,spot.3,spot.4,spot.5,spot.avg,Counted by,Comments,Lianas rhizobia released per nodule calculation,Morphology
001.O.a,1,001.O.a.1,0.023,2,  ,12,9,9,5,10,9,LTB,,#VALUE!,R
001.O.a,2,001.O.a.2,0.025,1,3,20,21,23,37,25,25.2,LTB,,126000,R
001.O.a,3,001.O.a.3,0.026,1,,,,,,,#DIV/0!,SG,No growth ,#DIV/0!,R
001.O.a,4,001.O.a.4,0.041,3,3,11,11,21,9,29,16.2,LTB,,81000,R
001.O.a,5,001.O.a.5,0.052,2,5,30,17,8,5,8,13.6,SG,,6800000,R
001.O.a,6,001.O.a.6,0.126,3,,,,,,,#DIV/0!,SG,CONTA;NO RHIZOBIA,#DIV/0!,R
001.O.b,1,001.O.b.1,0.018,1,4,70,73,60,53,55,62.2,SG,,3110000,R
001.O.b,2,001.O.b.2,0.024,2,5,17,15,14,20,17,16.6,,NEED TO CHECK,8300000,R
001.O.b,3,001.O.b.3,0.026,1,4,72,68,75,73,45,66.6,SG,,3330000,R
001.O.b,4,001.O.b.4,0.063,2,6,2,10,16,4,5,7.4,SG,,37000000,R
001.O.b,5,001.O.b.5,0.054,2,6,8,1,2,7,4,4.4,SG,,22000000,R
001.O.b,6,001.O.b.6,0.115,More than 5,5,17,8,27,13,13,15.6,SG,,7800000,R
001.O.c,1,001.O.c.1,0.005,1,2,14,11,12,20,14,14.2,SG,,7100,R
001.O.c,2,001.O.c.2,0.017,1,5,13,8,3,7,3,6.8,SG,,3400000,R
001.O.c,3,001.O.c.3,0.025,1,,,,,,,#DIV/0!,,CONTA;NO RHIZOBIA,#DIV/0!,R
001.O.c,4,001.O.c.4,0.028,1,5,14,14,5,9,6,9.6,SG,0,4800000,R
001.O.c,5,001.O.c.5,0.046,3,5,41,2,13,13,12,16.2,SG,,8100000,R
001.O.c,6,001.O.c.6,0.114,More than 5,,,,,,,#DIV/0!,,CONTA;NO RHIZOBIA,#DIV/0!,R
001.S.a,1,001.S.a.1,0.009,1,3,45,40,55,19,33,38.4,LTB,,192000,R
001.S.a,2,001.S.a.2,0.019,1,3,27,17,20,28,21,22.6,LTB,,113000,R
001.S.a,3,001.S.a.3,0.043,3,4,97,111,125,84,60,95.4,SG,,4770000,R
001.S.a,4,001.S.a.4,0.054,3,6,3,1,5,1,0,2,SG,this plate had no colonies in the 5th dil,10000000,R
001.S.a,5,001.S.a.5,0.219,More than 5,,,,,,,#DIV/0!,SG,CONTA;NO RHIZOBIA,#DIV/0!,R
001.S.a,6,001.S.a.6,0.303,More than 5,,,,,,,#DIV/0!,SG,CONTA;NO RHIZOBIA,#DIV/0!,R
001.S.b,1,001.S.b.1,0.014,1,3,6,7,5,2,,5,SG,,25000,R
001.S.b,2,001.S.b.2,0.016,1,3,44,27,23,51,33,35.6,SG,,178000,R
001.S.b,3,001.S.b.3,0.034,1,4,68,64,62,80,74,69.6,SG,,3480000,R
001.S.b,4,001.S.b.4,0.044,3,5,17,23,36,11,22,21.8,SG,,10900000,R
001.S.b,5,001.S.b.5,0.085,More than 5,,,,,,,#DIV/0!,SG,NO GROWTH,#DIV/0!,R
001.S.b,6,001.S.b.6,0.107,More than 5,5,1,0,0,0,0,0.2,SG,NO GROWTH,100000,R
001.S.c,1,001.S.c.1,0.011,1,3,5,6,5,8,4,5.6,LTB,,28000,R
001.S.c,2,001.S.c.2,0.026,2,3,86,92,102,100,64,88.8,LTB,,444000,R
001.S.c,3,001.S.c.3,0.029,1,4,55,51,66,38,68,55.6,SG,,2780000,R
001.S.c,4,001.S.c.4,0.069,5,5,15,15,5,19,9,12.6,SG,,6300000,R
001.S.c,5,001.S.c.5,0.068,More than 5,,,,,,,#DIV/0!,SG,NO GROWTH,#DIV/0!,R
001.S.c,6,001.S.c.6,0.22,More than 5,,,,,,,#DIV/0!,SG,NO GROWTH,#DIV/0!,R
001.V.a,1,001.V.a.1,0.008,1,3,21,14,23,11,18,17.4,LTB,,87000,R
001.V.a,2,001.V.a.2,0.029,1,4,13,5,11,13,3,9,SG,,450000,R
001.V.a,3,001.V.a.3,0.036,1,4,29,59,24,24,22,31.6,SG,,1580000,R
001.V.a,4,001.V.a.4,0.054,3,5,24,16,18,21,28,21.4,SG,,10700000,R
001.V.a,5,001.V.a.5,0.056,3,6,11,6,9,9,5,8,SG,,40000000,R
001.V.a,6,001.V.a.6,0.126,5,,,,,,,#DIV/0!,SG,CONTA;NO RHIZOBIA,#DIV/0!,R
001.V.b,1,001.V.b.1,0.011,2,2,6,6,3,3,3,4.2,LTB,NO GROWTH,2100,R
001.V.b,2,001.V.b.2,0.017,1,4,60,39,45,36,35,43,SG,,2150000,R
001.V.b,3,001.V.b.3,0.025,1,4,49,56,50,28,0,36.6,SG,,1830000,R
001.V.b,4,001.V.b.4,0.051,1,5,15,9,9,15,5,10.6,SG,,5300000,R
001.V.b,5,001.V.b.5,0.069,3,5,0,2,2,4,2,2,SG,,1000000,R
001.V.b,6,001.V.b.6,0.092,More than 5,5,26,23,21,22,32,24.8,SG,,12400000,R
001.V.c,1,001.V.c.1,0.029,2,4,14,9,9,20,30,16.4,SG,,820000,R
001.V.c,2,001.V.c.2,0.025,1,3,78,87,80,93,80,83.6,LTB,,418000,R
001.V.c,3,001.V.c.3,0.054,3,4,37,23,26,30,10,25.2,SG,,1260000,R
001.V.c,4,001.V.c.4,0.063,3,5,49,15,32,5,22,24.6,SG,,12300000,R
001.V.c,5,001.V.c.5,0.073,5,5,35,29,23,25,3,23,SG,,11500000,R
001.V.c,6,001.V.c.6,0.066,5,6,13,2,2,22,7,9.2,SG,,46000000,R
012.O.a,1,012.O.a.1,0.01,1,,,,,,,#DIV/0!,,No growth,#DIV/0!,R
012.O.a,2,012.O.a.2,0.013,1,,,,,,,#DIV/0!,SG,Merged;increase dil,#DIV/0!,R
012.O.a,3,012.O.a.3,0.022,1,,,,,,,#DIV/0!,,"Only one colony in dil3, try with dil2.",#DIV/0!,R
012.O.a,4,012.O.a.4,0.033,1,,,,,,,#DIV/0!,,No growth,#DIV/0!,R
012.O.a,5,012.O.a.5,0.045,1,,,,,,,#DIV/0!,SG,5-Merged;6-No growth,#DIV/0!,R
012.O.a,6,012.O.a.6,0.062,1,,,,,,,#DIV/0!,SG,Merged;increase dil,#DIV/0!,R
012.O.b,1,012.O.b.1,0.009,1,,,,,,,#DIV/0!,SG,Merged;increase dil,#DIV/0!,R
012.O.b,2,012.O.b.2,0.011,1,,,,,,,#DIV/0!,SG,Merged;increase dil,#DIV/0!,R
012.O.b,3,012.O.b.3,0.024,1,,,,,,,#DIV/0!,SG,"Merged;increase dil. Contaminated dil3, and dil4. I don't see any rhizo in dil4",#DIV/0!,R
012.O.b,4,012.O.b.4,0.025,1,,,,,,,#DIV/0!,SG,"Only one colony in dil5, try with dil 4",#DIV/0!,R
012.O.b,5,012.O.b.5,0.031,1,6,C,C,C,C,6,6,SG,"Merged;increase dil. Only one not contaminated spot in dil6, and has 6 colonies",30000000,R
012.O.b,6,012.O.b.6,0.055,3,,,,,,,#DIV/0!,SG,Merged;increase dil,#DIV/0!,R
012.O.c,1,012.O.c.1,0.01,1,,,,,,,#DIV/0!,,,#DIV/0!,R
012.O.c,2,012.O.c.2,0.01,1,,,,,,,#DIV/0!,,,#DIV/0!,R
012.O.c,3,012.O.c.3,0.026,1,,,,,,,#DIV/0!,,Conta.,#DIV/0!,R
012.O.c,4,012.O.c.4,0.032,1,5,1,2,1,2,2,1.6,MAG,,800000,R
012.O.c,5,012.O.c.5,0.041,2,,,,,,,#DIV/0!,,Conta.,#DIV/0!,R
012.O.c,6,012.O.c.6,0.056,3,,,,,,,#DIV/0!,,Conta.,#DIV/0!,R
012.S.a,1,012.S.a.1,0.007,1,,,,,,,#DIV/0!,,"Only a couple of colonies in dil4, but no in dil3. Go up one dil to dil3. ",#DIV/0!,R
012.S.a,2,012.S.a.2,0.019,1,5,2,10,10,8,5,7,SG,"Merged;increase dil,2nd attempt worked with 5",3500000,R
012.S.a,3,012.S.a.3,0.025,2,4,42,39,43,40,38,40.4,SG,,2020000,R
012.S.a,4,012.S.a.4,0.022,1,,,,,,,#DIV/0!,,,#DIV/0!,R
012.S.a,5,012.S.a.5,0.046,3,,,,,,,#DIV/0!,,"Contamination in dil5 and 6, I don't see any rhizo",#DIV/0!,R
012.S.a,6,012.S.a.6,0.102,More than 5,,,,,,,#DIV/0!,SG,Conta,#DIV/0!,R
012.S.b,1,012.S.b.1,0.009,1,3,4,2,6,7,3,4.4,SG,,22000,R
012.S.b,2,012.S.b.2,0.019,2,3,9,9,7,7,11,8.6,SG,,43000,R
012.S.b,3,012.S.b.3,0.023,2,3,14,14,11,12,12,12.6,SG,,63000,R
012.S.b,4,012.S.b.4,0.024,1,,,,,,,#DIV/0!,,Dil5 is overpopulated but dil6 doesn't have any colony?,#DIV/0!,R
012.S.b,5,012.S.b.5,0.111,4,5,5,5,4,1,0,3,SG,,1500000,R
012.S.b,6,012.S.b.6,0.077,More than 5,,,,,,,#DIV/0!,,Only a couple of colonies in dil5. Needs dil4,#DIV/0!,R
012.S.c,1,012.S.c.1,0.007,1,,,,,,,#DIV/0!,,No growth in dil3 and 4,#DIV/0!,R
012.S.c,2,012.S.c.2,0.014,1,,,,,,,#DIV/0!,SG,"Massive rhizo, needs lower dilution",#DIV/0!,R
012.S.c,3,012.S.c.3,0.025,1,6,4,2,6,4,,4,SG,"Conta ,second attempt worked with 6",20000000,R
012.S.c,4,012.S.c.4,0.024,1,5,2,4,2,4,3,3,SG,,1500000,R
012.S.c,5,012.S.c.5,0.045,2,5,3,13,7,4,8,7,SG,,3500000,R
012.S.c,6,012.S.c.6,0.117,More than 5,,,,,,,#DIV/0!,SG,Conta,#DIV/0!,R
012.V.a,1,012.V.a.1,0.017,1,3,1,0,0,2,1,0.8,MAG,,4000,R
012.V.a,2,012.V.a.2,0.027,1,,,,,,,#DIV/0!,,Not growth. Slight contamination in dil3,#DIV/0!,R
012.V.a,3,012.V.a.3,0.021,1,,,,,,,#DIV/0!,,Not growth.  No contamination. ,#DIV/0!,R
012.V.a,4,012.V.a.4,0.061,2,5,3,3,2,2,0,2,,,1000000,R
012.V.a,5,012.V.a.5,0.091,2,,,,,,,#DIV/0!,SG,Merged;increase dil,#DIV/0!,R
012.V.a,6,012.V.a.6,0.122,More than 5,,,,,,,#DIV/0!,SG,Merged;increase dil,#DIV/0!,R
012.V.b,1,012.V.b.1,0.021,1,,,,,,,#DIV/0!,SG,Merged;increase dil,#DIV/0!,R
012.V.b,2,012.V.b.2,0.031,1,4,45,38,55,43,42,44.6,SG,,2230000,R
012.V.b,3,012.V.b.3,0.021,1,,,,,,,#DIV/0!,,Merged;increase dil,#DIV/0!,R
012.V.b,4,012.V.b.4,0.023,1,,,,,,,#DIV/0!,SG,Conta,#DIV/0!,R
012.V.b,5,012.V.b.5,0.05,2,5,40,24,36,18,19,27.4,SG,,13700000,R
012.V.b,6,012.V.b.6,0.115,More than 5,5,5,3,3,3,6,4,SG,,2000000,R
012.V.c,1,012.V.c.1,0.018,1,,,,,,,#DIV/0!,SG,Merged;increase dil,#DIV/0!,R
012.V.c,2,012.V.c.2,0.03,2,,,,,,,#DIV/0!,SG,Merged;increase dil,#DIV/0!,R
012.V.c,3,012.V.c.3,0.035,1,4,89,100,89,61,84,84.6,SG,,4230000,R
012.V.c,4,012.V.c.4,0.044,1,,,,,,,#DIV/0!,,No growth,#DIV/0!,R
012.V.c,5,012.V.c.5,0.087,4,,,,,,,#DIV/0!,,No growth,#DIV/0!,R
012.V.c,6,012.V.c.6,0.112,More than 5,,,,,,,#DIV/0!,,No growth,#DIV/0!,R
044.O.a,1,044.O.a.1,0.015,1,4,16,14,18,16,14,15.6,MAG,,780000,R
044.O.a,2,044.O.a.2,0.02,1,,,,,,,#DIV/0!,,Massive contamination. But I would try dil6 spot,#DIV/0!,R
044.O.a,3,044.O.a.3,0.052,2,5,12,14,22,18,25,18.2,MAG,I can see rhizo In plate 4 but very merged. Try dil5 Spot plating,9100000,R
044.O.a,4,044.O.a.4,0.073,3,NA,NA,NA,NA,NA,NA,#DIV/0!,,I can see rhizo in the contamination of dil6. I plated dil5 in half of a plate but every thing has contamination,#DIV/0!,R
044.O.a,5,044.O.a.5,0.079,More than 5,5,22,24,14,9,16,17,MAG,,8500000,R
044.O.a,6,044.O.a.6,0.219,More than 5,5,29,35,32,22,34,30.4,MAG,,15200000,R
044.O.b,1,044.O.b.1,0.008,1,1,0,0,0,0,0,0,,empty plate. Try dil 2 spot. Dil2 is empty. Try Dil1. Dil1 is also emty. ,0,R
044.O.b,2,044.O.b.2,0.035,3,,,,,,,#DIV/0!,,Massive contamination. I tried dil3 and massive contamination,#DIV/0!,R
044.O.b,3,044.O.b.3,0.038,2,NA,NA,NA,NA,NA,NA,#DIV/0!,,"Massive contamination. I did full plaste of dil3, and I don't see rhizo, only contamination",#DIV/0!,R
044.O.b,4,044.O.b.4,0.04,1,,,,,,,#DIV/0!,,I can see colonies in dil5. Plate in biggerplate.,#DIV/0!,R
044.O.b,5,044.O.b.5,0.057,5,,,,,,,#DIV/0!,,Massive contamination. DOn't know which dil to choose,#DIV/0!,R
044.O.b,6,044.O.b.6,0.084,3,,,,,,,#DIV/0!,,Try spot plating dil8. ,#DIV/0!,R
044.O.c,1,044.O.c.1,0.016,1,3,6,1,2,3,0,2.4,MAG,,12000,R
044.O.c,2,044.O.c.2,0.023,1,4,12,11,8,7,12,10,MAG,,500000,R
044.O.c,3,044.O.c.3,0.035,1,4,NA,31,27,27,35,30,MAG,Dil4 nice and clean but overgrew. Try dil4 again spot,1500000,R
044.O.c,4,044.O.c.4,0.048,3,NA,NA,NA,NA,NA,NA,#DIV/0!,,Massive contamination. Try with dil5 in bigger plate?. I plated dil5 in full plate and I only see the dense contaminant and not rhizo,#DIV/0!,R
044.O.c,5,044.O.c.5,0.064,4,,,,,,,#DIV/0!,,Full of contamination. I don't know which dilution to plate,#DIV/0!,R
044.O.c,6,044.O.c.6,0.26,More than 5,,,,,,,#DIV/0!,,A lot of contamination. Plate Dil8. Ful plate of dil6 contaminated,#DIV/0!,R
044.S.a,1,044.S.a.1,0.014,1,6,C,1,1,1,0,0.75,MAG,Rhizobia in dil4 overgrew a lot. Try spot dil6. Maybe try dil5 spot. ,3750000,R
044.S.a,2,044.S.a.2,0.016,2,3,4,6,7,8,2,5.4,MAG,,27000,R
044.S.a,3,044.S.a.3,0.02,1,4,9,10,13,8,13,10.6,,No contamination. Dil4 overgrew. Plate Dil4 spot.,530000,R
044.S.a,4,044.S.a.4,0.035,1,3,13,9,10,9,NA,10.25,,"Empty plate. Try dil4 Spot. Very few colonies, try with dil 3. ",51250,R
044.S.a,5,044.S.a.5,0.083,3,NA,NA,NA,NA,NA,NA,#DIV/0!,,"Massive contamination. Dont know which dilution to choose. Chose dil5 in bigger plate but I don't see rhizo, only the contaminant with high density",#DIV/0!,R
044.S.a,6,044.S.a.6,0.067,4,4,4,6,6,3,3,4.4,MAG,,220000,R
044.S.b,1,044.S.b.1,0.014,1,NA,NA,NA,NA,NA,NA,#DIV/0!,,Plate dil2 in big plate. Dil3 has a few rhizobia and few contaminats. High contamination in dil2 in big plate,#DIV/0!,R
044.S.b,2,044.S.b.2,0.034,1,4,M,12,11,5,9,9.25,MAG,M from merged,462500,R
044.S.b,3,044.S.b.3,0.054,4,4,18,18,24,15,20,19,MAG,,950000,R
044.S.b,4,044.S.b.4,0.054,2,,,,,,,#DIV/0!,,I don't see any rhizobi here. Oly contaminants. Maybe try with dil 4 in bigger plate. I tried dil4 in bigger plate. All contaminated,#DIV/0!,R
044.S.b,5,044.S.b.5,0.1,4,5,12,14,16,14,16,14.4,MAG,,7200000,R
044.S.b,6,044.S.b.6,0.068,4,6,11,10,9,4,5,7.8,MAG,,39000000,R
044.S.c,1,044.S.c.1,0.013,1,,,,,,,#DIV/0!,,Massive contamination. I don't know which what dilution to try,#DIV/0!,R
044.S.c,2,044.S.c.2,0.03,2,3,4,5,2,8,9,5.6,MAG,,28000,R
044.S.c,3,044.S.c.3,0.036,2,5,11,13,16,12,11,12.6,MAG,Dil4 nice and clean. But needs an extra dilution. Dil5 spot,6300000,R
044.S.c,4,044.S.c.4,0.047,2,,,,,,,#DIV/0!,,Massive contamination. Maybe try dil6 in biggerp late,#DIV/0!,R
044.S.c,5,044.S.c.5,0.057,2,,,,,,,#DIV/0!,,Massive contaminaiton and mucoid. Maybe try dil6 in bigger plate,#DIV/0!,R
044.S.c,6,044.S.c.6,0.066,2,NA,NA,NA,NA,NA,NA,#DIV/0!,,Massive contamination. I don't know which what dilution to try. I tried dil4 and was massively contaminated in the plate,#DIV/0!,R
044.V.a,1,044.V.a.1,0.014,1,,,,,,,#DIV/0!,,Massive contamination. I don't know which what dilution to try,#DIV/0!,R
044.V.a,2,044.V.a.2,0.024,1,5,7,12,11,8,6,8.8,MAG,"I can see a lot of rhizo in dil4, prepare dil5 and spot plate. They are around 60-80 per spot.",4400000,R
044.V.a,3,044.V.a.3,0.048,1,5,3,8,11,10,5,7.4,MAG,I can see rhizo in the contamination of dil4. Prepare dil 5 and spot plate,3700000,R
044.V.a,4,044.V.a.4,0.049,2,5,4,3,4,6,4,4.2,MAG,,2100000,R
044.V.a,5,044.V.a.5,0.096,5,5,0,3,2,1,3,1.8,MAG,,900000,R
044.V.a,6,044.V.a.6,0.163,More than 5,6,1,4,3,c,c,2.666666667,MAG,,13333333.33,R
044.V.b,1,044.V.b.1,0.015,1,2,26,17,14,18,15,18,MAG,"No contaminants, very few rhizo. Try dil 2.",9000,R
044.V.b,2,044.V.b.2,0.016,2,2,4,12,15,17,9,11.4,MAG,I don't see rhizo or contaminants. Go for dil2 spot,5700,R
044.V.b,3,044.V.b.3,0.033,1,NA,NA,NA,NA,NA,NA,#DIV/0!,,"I don't see rhizo, only contaminants. Maybe go for dil3 in bigger plate. Dil 3  in single plate full of contamination. ",#DIV/0!,R
044.V.b,4,044.V.b.4,26,2,4,0,0,0,1,1,0.4,,Spot plate dil4. I can see a few colonies growing very slow,20000,R
044.V.b,5,044.V.b.5,0.079,4,4,4,6,7,1,1,3.8,,"DIL5 2,1,3,0,0. Spot plate dil4",190000,R
044.V.b,6,044.V.b.6,0.2,More than 5,,,,,,,#DIV/0!,,I can see small dots in dil6. Try it in a bigger plate,#DIV/0!,R
044.V.c,1,044.V.c.1,0.011,2,2,8,9,15,15,15,12.4,,no contamination few rhizo. Try spot of dil2. ,6200,R
044.V.c,2,044.V.c.2,0.018,1,NA,NA,NA,NA,NA,NA,#DIV/0!,,Massive contamination. Dont know which dilution to choose. Chose dilution 2 and there is massive contamination in the single plate,#DIV/0!,R
044.V.c,3,044.V.c.3,0.027,1,4,6,6,6,6,6,6,MAG,,300000,R
044.V.c,4,044.V.c.4,0.038,2,4,50,35,54,39,30,41.6,,Empty plate. Try dilution 4. Spot. Dilution4 has heavy contamination. counted through heavy cont,2080000,R
044.V.c,5,044.V.c.5,0.052,3,NA,NA,NA,NA,NA,NA,#DIV/0!,,Massive contamination. Try with dil5 in bigger plate?. Massive contamination on dil5 in the bigg plate.,#DIV/0!,R
044.V.c,6,044.V.c.6,0.075,More than 5,NA,NA,NA,NA,NA,NA,#DIV/0!,,"I can see rhizo in dil5. I plated dil6 in a bigger plate and i only see a smear, i don't see individual colonies of anything",#DIV/0!,R
059.O.a,1,059.O.a.1,0.012,1,3,6,3,1,2,0,2.4,MAG,,12000,R
059.O.a,2,059.O.a.2,0.024,3,4,7,4,8,5,3,5.4,MAG,,270000,R
059.O.a,3,059.O.a.3,0.023,1,3,9,4,6,6,4,5.8,MAG,,29000,R
059.O.a,4,059.O.a.4,0.038,2,4,NA,NA,NA,NA,NA,#DIV/0!,,I see veryfew rhizo in dil5. Contamination. Go to dil4 in bigger plate. In dil4 I only see the dense contamination. Not rhizo,#DIV/0!,R
059.O.a,5,059.O.a.5,0.036,1,,,,,,,#DIV/0!,,I don't see rhizo in Dil5. A lot of contaminants. Go up to dil4 in big plates,#DIV/0!,R
059.O.a,6,059.O.a.6,0.05,2,,,,,,,#DIV/0!,,I don't see any rhizo in dil5 or 6. Plate dil 4 in bigger plate,#DIV/0!,R
059.O.b,1,059.O.b.1,0.026,2,3,8,9,9,6,8,8,MAG,,40000,R
059.O.b,2,059.O.b.2,0.036,3,5,35,31,29,29,33,31.4,MAG,No Contamination. Go for Dil5.,15700000,R
059.O.b,3,059.O.b.3,0.092,more than 5,,,,,,,#DIV/0!,,"I don't see rhizo, only contaminants. Go for dil4 in bigger plate",#DIV/0!,R
059.O.b,4,059.O.b.4,0.104,more than 5,5,NA,NA,NA,NA,NA,#DIV/0!,,I can see colonies in dil5. Repeat dil5 in bigger plate. Dil 5 in bigger plate ony has one contaminant. Not rhizo. Probably because of the long storage of the dilutions.,#DIV/0!,R
059.O.b,5,059.O.b.5,0.222,More than 5,NA,NA,NA,NA,NA,NA,#DIV/0!,,"I can see contaminants in dil5, but also small rhizo. Plate Dil5 in big plate. In bigger plate of Dil5 I only see the contamination",#DIV/0!,R
059.O.b,6,059.O.b.6,0.186,More than 5,5,NA,NA,NA,NA,NA,#DIV/0!,,Contaminants but don't see rhizo. Plate dil5 in big plate. I only see contaminants in Dil5 bigger plate,#DIV/0!,R
