Strain,Variety,Source_variety,Rep,Label,Tray,Slot,Location,Plantarea_3weeks_cm^2,Chloro_1,Chloro_2,Chloro_3,Chloro_4,Chloro_5,Chloro_check,Chloro_avg,Rootweight_g,Shootweight_g,Nod_lobe,Nod_unlobed,Nodule_Picker,Morphology,NOTES
007,S,ON,a,007_S_a,11,A,11-A,2.239253112,29.3,11.3,26.9,26.3,31.8,2.87,25.12,0.113,0.214,10,61,ELP,R,
007,O,ON,a,007_O_a,19,B,19-B,1.27380557,17,17.2,23.3,30.9,33.5,1.94,24.38,0.31,0.15,6,12,EMB,R,
007,V,ON,a,007_V_a,20,A,20-A,1.347793708,18.1,35.8,30,35.4,37.5,2.28,31.36,0.108,0.238,12,23,,R,
007,V,ON,b,007_V_b,37,C,37-C,4.286473177,7.7,20.1,5.7,9.2,39.8,3.89,16.5,0.337,0.624,26,23,EMB,R,
007,O,ON,b,007_O_b,57,G,57-G,6.330591445,38.3,34.5,51.2,40.9,44.6,1.24,41.9,0.254,0.427,18,22,EMB,R,2 plants written on shoots envelope
007,S,ON,b,007_S_b,61,F,61-F,6.52725308,4.6,26,1,29.2,41.2,13.74,20.4,0.247,0.572,17,39,EMB,R,
007,V,ON,c,007_V_c,83,A,83-A,3.060997128,5.6,40.5,1.8,30.5,27,18.17,21.08,0.221,0.486,17,16,MAG,R,
007,O,ON,c,007_O_c,87,E,87-E,3.129928203,47.3,40,41.7,39.9,43.2,0.29,42.42,0.365,0.58,25,52,MAG,R,
007,S,ON,c,007_S_c,108,F,108-F,3.26943758,5.3,34.5,47.1,33.3,27.8,10.36,29.6,0.198,0.478,12,28,SVG,R,
007,V,ON,d,007_V_d,125,E,125-E,4.482013643,42.8,43.3,35.7,35.7,43.2,0.46,40.14,0.419,0.587,23,32,EMB,R,
007,S,ON,d,007_S_d,132,H,132-H,1.202344952,1.8,18.3,30.8,20.6,29.2,8.08,20.14,NA,0.16,NA,NA,,R,No roots in envelope
007,O,ON,d,007_O_d,141,G,141-G,4.295886076,26.7,26.9,33.1,25.7,21.1,0.41,26.7,0.253,0.498,7,31,ELP,R,
008,S,ON,a,008_S_a,1,H,1-H,5.189841343,28.9,36.9,11.9,53.3,24.6,9.05,31.12,0.368,0.539,12,14,EMB,R,
008,O,ON,a,008_O_a,12,I,12-I,2.94929241,19.4,31.5,24.9,27.6,33.6,1,27.4,0.234,0.393,15,11,ELP,R,
008,V,ON,a,008_V_a,31,A,31-A,0.41259104,4.2,16.9,1.8,4.8,27.6,6.63,11.06,0.085,0.205,4,2,EMB,R,
008,O,ON,b,008_O_b,51,G,51-G,2.603738676,51,50,50.9,41.2,51.6,0.47,48.94,0.292,0.334,8,14,ELP,R,
008,V,ON,b,008_V_b,55,J,55-J,0.284156045,24.4,19,29.1,35.6,41.7,1.84,29.96,0.118,0.309,12,10,EMB,R,
008,S,ON,b,008_S_b,68,F,68-F,5.550749743,4.7,19.6,5.8,54.9,33.2,25.85,23.64,0.354,0.739,18,49,EMB,R,
008,S,ON,c,008_S_c,79,J,79-J,3.062847247,2.7,2.2,36.6,NA,42.6,28.11,21.025,0.165,0.4,24,18,LTB,R,
008,V,ON,c,008_V_c,82,C,82-C,5.735410786,38.5,37.1,15.1,18.1,14.3,5.58,24.62,0.612,0.626,24,19,MAG,R,
008,O,ON,c,008_O_c,89,A,89-A,2.907577013,39.3,15.7,53.4,50.4,64.5,7.37,44.66,0.292,0.583,20,14,ELP,R,
008,V,ON,d,008_V_d,116,I,116-I,1.911782323,21.7,7,26.9,32.7,29.3,5.49,23.52,0.116,0.247,17,11,EMB,R,
008,S,ON,d,008_S_d,123,G,123-G,0,1.1,1,1,1,0.9,0,1,0.267,NA,NA,NA,,R,Missing shoot envelope
008,O,ON,d,008_O_d,139,D,139-D,3.042780234,29.6,4.6,41.1,36.4,52.1,9.46,32.76,0.315,0.485,26,48,MAG,R,
009,O,ON,a,009_O_a,1,A,1-A,3.322281269,20.4,23.3,25.7,28.7,32.4,0.51,26.1,0.329,0.369,19,13,EMB,R,
009,V,ON,a,009_V_a,5,F,5-F,3.511556445,13.6,40,34.3,10.5,40,8.82,27.68,0.216,0.475,9,7,EMB,R,
009,S,ON,a,009_S_a,27,B,27-B,0.562234625,0.9,NA,1,1,0.9,0,0.95,0.032,0.011,0,5,EMB,R,Very little plant
009,O,ON,b,009_O_b,42,F,42-F,2.007090174,43.7,37.3,16.5,33.1,42.2,4.13,34.56,0.223,0.349,15,8,EMB,R,
009,S,ON,b,009_S_b,44,B,44-B,6.780548872,2.5,48.6,6.8,39,40.2,21.85,27.42,0.416,0.51,12,18,EMB,R,
009,V,ON,b,009_V_b,57,F,57-F,5.392587636,2.7,8.1,11.3,23.8,5.9,6.98,10.36,0.321,0.533,18,16,EMB,R,
009,S,ON,c,009_S_c,83,I,83-I,2.063007796,15.1,20,27.2,23.4,28.1,1.23,22.76,0.213,0.379,25,33,MAG,R,
009,O,ON,c,009_O_c,84,B,84-B,3.492432549,29.8,NA,44.7,19.5,32.7,5.12,31.675,0.16,0.349,16,15,MAG,R,
009,V,ON,c,009_V_c,86,A,86-A,2.732434555,8.1,1,2.8,10.4,3.3,3.49,5.12,0.333,0.601,23,2,MAG,R,
009,S,ON,d,009_S_d,123,H,123-H,0,1.1,1,1,1,0.9,0,1,NA,NA,NA,NA,,R,DEAD
009,V,ON,d,009_V_d,127,G,127-G,1.057432791,17.7,13.5,35.7,33.5,43,4.94,28.68,0.17,0.27,6,0,ELP,R,
009,O,ON,d,009_O_d,132,C,132-C,2.451684213,18.2,35.3,33.9,21.3,33.1,2.78,28.36,0.19,0.279,11,9,SVG,R,
010,S,ON,a,010_S_a,8,H,8-H,3.521628934,23.5,8.7,57.7,47.3,39.3,14.47,35.3,0.326,0.413,13,15,EMB,R,
010,O,ON,a,010_O_a,21,D,21-D,2.140318477,18.2,23.4,19.5,21.9,29,0.26,22.4,0.21,0.351,9,31,MAG,R,
010,V,ON,a,010_V_a,22,H,22-H,4.915933976,1.7,38.6,19.5,30.6,31.9,11.3,24.46,0.49,0.652,32,30,EMB,R,
010,V,ON,b,010_V_b,48,B,48-B,1.274042097,9.5,16.2,25.4,15.4,12.6,2.6,15.82,0.104,0.361,15,43,EMB,R,
010,O,ON,b,010_O_b,66,I,66-I,1.222133411,6.5,4.9,NA,30.1,39.9,14.39,20.35,0.082,0.175,13,12,EMB,R,
010,S,ON,b,010_S_b,67,C,67-C,4.455286555,28.9,41.4,NA,39.9,15.8,1.27,31.5,0.249,0.391,12,16,EMB,R,
010,S,ON,c,010_S_c,91,C,91-C,2.78788367,19.7,25.4,27.2,26,21.9,0.45,24.04,0.181,0.32,12,40,SVG,R,
010,O,ON,c,010_O_c,101,G,101-G,2.406831923,23.3,NA,27.7,25.7,28.4,0.19,26.275,0.15,0.242,6,26,MAG,R,
010,V,ON,c,010_V_c,104,F,104-F,3.612365124,34,42.6,41.1,25.4,2.8,1.73,29.18,0.346,0.526,25,37,MAG,R,
010,S,ON,d,010_S_d,110,B,110-B,0,1.1,1,0.9,1,1,0.01,1,,NA,NA,NA,NA,R,DEAD
010,O,ON,d,010_O_d,125,G,125-G,2.117652855,38.4,40.6,42.4,42.7,52.5,0.1,43.32,0.299,0.395,13,20,EMB,R,
010,V,ON,d,010_V_d,125,I,125-I,1.966326427,37.9,38.1,37.1,37.8,32.2,0.01,36.62,0.169,0.361,18,13,EMB,R,
011,O,ON,a,011_O_a,18,D,18-D,3.937076312,35.5,37.1,40.8,46.4,51.3,0.59,42.22,0.367,0.451,31,24,LTB,R,
011,S,ON,a,011_S_a,25,A,25-A,3.589661267,8.8,NA,23.9,32.1,35.6,6.47,25.1,0.144,0.256,14,10,EMB,R,
011,V,ON,a,011_V_a,28,B,28-B,3.18,12.8,NA,27.6,29.3,29.4,3.55,24.775,0.119,0.28,9,27,EMB,R,
011,O,ON,b,011_O_b,42,G,42-G,1.686175802,30.7,22.9,31.4,27.1,31.8,0.54,28.78,0.187,0.319,16,16,EMB,R,
011,V,ON,b,011_V_b,46,I,46-I,2.015601732,8,34,27.6,18.3,19.4,5.84,21.46,0.169,0.304,5,8,EMB,R,
011,S,ON,b,011_S_b,54,J,54-J,1.602980204,37.6,35.2,14.9,35.7,45.9,3.7,33.86,0.18,0.324,9,12,EMB,R,
011,S,ON,c,011_S_c,78,H,78-H,6.502701548,47.3,47.3,3.9,34.3,45.7,12.62,35.7,0.562,0.823,13,23,EMB,R,
011,V,ON,c,011_V_c,84,H,84-H,2.780154379,38.1,NA,12.3,39,35.3,7.71,31.175,0.226,0.579,27,119,MAG,R,
011,O,ON,c,011_O_c,87,B,87-B,2.076030963,23.5,9.2,29.2,26,24.1,3.55,22.4,0.147,0.255,22,12,MAG,R,
011,O,ON,d,011_O_d,115,B,115-B,2.905737762,37.3,4.7,40.5,40.7,48.5,9.91,34.34,0.31,0.451,14,11,EMB,R,
011,S,ON,d,011_S_d,130,B,130-B,0,1.1,1,1,1,0.9,0,1,NA,NA,NA,NA,,R,DEAD
011,V,ON,d,011_V_d,134,J,134-J,0.694797286,8.6,22.5,8.1,27.2,22.1,5.69,17.7,0.104,0.265,2,31,ELP,R,
012,O,ON,a,012_O_a,9,H,9-H,2.540304528,25.7,10.3,18.3,12.3,21.3,2.88,17.58,0.14,0.196,4,37,SVG,R,
012,V,ON,a,012_V_a,24,B,24-B,2.297059695,2.2,3.5,22,7.7,29.5,9.31,12.98,0.056,0.174,12,11,SVG,R,
012,S,ON,a,012_S_a,35,I,35-I,2.043643902,3,NA,7.3,43.8,45.8,27.87,24.975,0.104,0.176,6,31,SVG,R, 
012,V,ON,b,012_V_b,45,H,45-H,0.343356349,2.3,12.2,9.8,12.2,32.7,2.41,13.84,0.055,0.21,7,27,SVG,R,
012,O,ON,b,012_O_b,51,C,51-C,1.93306464,23.6,16.2,28,24.3,35,1.06,25.42,0.163,0.379,7,52,SVG,R,
012,S,ON,b,012_S_b,61,H,61-H,5.657410309,46.8,16.8,2.2,33.5,54.6,15.23,30.78,0.516,0.59,10,74,SVG,R,
012,S,ON,c,012_S_c,80,H,80-H,3.509951948,25.7,27.5,31.4,28,30.6,0.2,28.64,0.238,0.328,6,76,SVG,R,
012,V,ON,c,012_V_c,89,D,89-D,3.508481835,29.8,37.4,8,31,43.5,6.18,29.94,0.181,0.354,9,34,SVG,R,
012,O,ON,c,012_O_c,102,H,102-H,3.452725461,25.7,20,24.5,22.9,29.1,0.26,24.44,0.24,0.272,4,33,SVG,R,
012,V,ON,d,012_V_d,118,I,118-I,1.377846162,9,2.8,25.3,24.3,33.4,8.19,18.96,0.08,0.207,12,30,ELP,R,
012,O,ON,d,012_O_d,124,A,124-A,3.371693074,9.7,42.2,17.9,14.4,29.2,9.98,22.68,0.168,0.247,22,31,LTB ,R,
012,S,ON,d,012_S_d,131,I,131-I,0,1.1,1,1,1,0.9,0,1,NA,NA,NA,NA,,R,DEAD
013,O,ON,a,013_O_a,16,E,16-E,4.032340782,7.4,20.9,24.8,27.6,34.7,3.97,23.08,0.351,0.721,42,48,EMB,R,
013,S,ON,a,013_S_a,29,J,29-J,3.703624009,3.4,17.1,26.5,30.4,45.9,7.45,24.66,0.178,0.483,36,41,LTB,R,
013,V,ON,a,013_V_a,33,G,33-G,1.951233402,23.7,37.1,28.6,31.4,37.1,1.04,31.58,0.181,0.451,17,31,EMB,R,
013,S,ON,b,013_S_b,49,F,49-F,6.703276485,6.5,21.5,15.2,35.4,58.1,7.54,27.34,0.371,0.799,25,5,ELP,R,
013,V,ON,b,013_V_b,57,J,57-J,0,10.1,20.2,32.9,10.1,18.1,6.39,18.28,0.108,0.312,11,9,EMB,R,
013,O,ON,b,013_O_b,61,I,61-I,3.637256862,28.2,29.5,6.4,7.7,41.2,8.86,22.6,0.245,0.576,30,46,EMB,R,
013,S,ON,c,013_S_c,85,J,85-J,2.310249677,14.3,7.5,57.4,27.5,42.6,18.31,29.86,0.146,0.326,23,11,MAG,R,
013,V,ON,c,013_V_c,88,H,88-H,2.708506492,44.7,,23.1,19.5,45.2,6.38,33.125,0.338,0.485,43,101,MAG,R,
013,O,ON,c,013_O_c,97,G,97-G,3.470385757,38.1,33.6,39,37.1,40.6,0.15,37.68,0.184,0.354,20,46,MAG,R,
013,V,ON,d,013_V_d,117,D,117-D,5.140884172,32.9,28.1,36.4,22,13.4,1.31,26.56,0.371,0.651,17,118,MAG,R,
013,S,ON,d,013_S_d,132,A,132-A,3.155712157,56.3,57,69.3,40.1,54.3,2.58,55.4,0.352,0.674,22,86,SVG,R,
013,O,ON,d,013_O_d,142,E,142-E,4.860584568,47.3,40.7,55.9,45,47.6,0.87,47.3,0.48,0.606,24,44,LTB,R,
014,V,ON,a,014_V_a,23,B,23-B,4.176328837,2.4,3.5,19.9,19.6,22.2,8.31,13.52,0.185,0.373,12,48,EMB,R,
014,S,ON,a,014_S_a,23,G,23-G,3.8183025,2.5,36.8,43.2,46.6,41.3,12.72,34.08,0.25,0.383,1,5,EMB,R,
014,O,ON,a,014_O_a,33,H,33-H,2.759961665,4.2,6.8,20.4,32.7,41.1,10.86,21.04,0.102,0.233,12,29,EMB,R,
014,S,ON,b,014_S_b,46,A,46-A,5.466948302,14.2,12.5,14.3,20.7,23.6,0.85,17.06,0.234,0.35,14,68,EMB,R,
014,O,ON,b,014_O_b,47,E,47-E,3.461925516,37.2,22.1,25.2,28.3,24.7,1.5,27.5,0.268,0.228,18,29,ELP,R,
014,V,ON,b,014_V_b,55,A,55-A,3.849192739,2.8,19.8,38.5,35.1,37.2,11.1,26.68,0.156,0.367,29,18,EMB,R,
014,V,ON,c,014_V_c,103,I,103-I,1.461669795,13.4,35.2,33.1,27.6,12.9,3.53,24.44,0.162,0.33,8,41,MAG,R,
014,S,ON,c,014_S_c,106,A,106-A,3.664014313,18.7,22.2,28.7,27.2,41,0.87,27.56,0.522,0.712,55,47,MAG,R,
014,O,ON,c,014_O_c,108,A,108-A,3.648213885,41.5,19.2,45.2,28.6,32.7,4.26,33.44,0.289,0.398,1,48,SVG,R,
014,V,ON,d,014_V_d,109,G,109-G,2.798991556,11.2,41,22.7,2.3,31.8,14.46,21.8,0.28,0.376,26,52,ELP,R,
014,O,ON,d,014_O_d,111,A,111-A,4.872365304,37.9,30,45.4,43.7,26.6,1.23,36.72,0.433,0.705,22,62,ELP,R,
014,S,ON,d,014_S_d,138,E,138-E,0,,1,1,1,0.9,0,0.975,NA,NA,NA,NA,,R,DEAD
015,O,ON,a,015_O_a,1,C,1-C,2.293445779,24.7,25.2,8.6,11.5,23.8,4.31,18.76,0.176,0.321,6,47,EMB,R,
015,V,ON,a,015_V_a,18,F,18-F,2.667584259,1.6,3.9,31.1,18.1,7.7,13.76,12.48,0.239,0.366,26,32,LTB,R,
015,S,ON,a,015_S_a,19,E,19-E,7.008401165,27.6,44.2,5.8,34.6,37.9,9.49,30.02,0.001,0.507,24,35,EMB,R,
015,O,ON,b,015_O_b,62,I,62-I,2.593433035,3.9,31.7,29.7,42.2,48.8,9.85,31.26,0.171,0.387,18,18,EMB,R,
015,V,ON,b,015_V_b,68,A,68-A,0.757769393,6.1,2.9,10.1,23.3,27.7,7.58,14.02,0.071,0.169,5,9,EMB,R,
015,S,ON,b,015_S_b,69,C,69-C,3.633574316,31.2,15.7,25,39.5,43,3.62,30.88,0.22,0.385,14,41,EMB,R,
015,O,ON,c,015_O_c,83,H,83-H,1.978600739,20.4,12.7,33.3,26.7,19.5,3.33,22.52,0.093,0.204,5,41,MAG,R,
015,S,ON,c,015_S_c,94,H,94-H,8.677207424,11.2,16.1,28.5,29.1,31.4,3.8,23.26,0.547,0.608,30,36,MAG,R,
015,V,ON,c,015_V_c,100,C,100-C,1.645315064,20.7,19.7,15.2,27.3,16.1,1.2,19.8,0.137,0.278,2,7,SVG,R,
015,O,ON,d,015_O_d,123,B,123-B,4.318705659,41.2,41.5,53.7,50.3,55.6,0.85,48.46,0.298,0.522,12,33,EMB,R,
015,S,ON,d,015_S_d,127,B,127-B,0,1.1,1,1,1,0.9,0,1,NA,NA,NA,NA,,R,DEAD
015,V,ON,d,015_V_d,139,G,139-G,1.370808843,33.9,2.8,25.9,29.5,44.7,8.36,27.36,0.165,0.262,7,5,MAG,R,
016,O,ON,a,016_O_a,3,B,3-B,2.363616726,5.4,25.9,29.7,17.8,36.1,5.86,22.98,0.256,0.321,6,56,GMF,R,
016,V,ON,a,016_V_a,25,E,25-E,1.082827688,1.9,NA,29.4,25.8,33.6,11.74,22.675,0.098,0.259,9,13,EMB,R,
016,S,ON,a,016_S_a,28,G,28-G,7.673114754,11.7,NA,23.9,4.4,38,7.28,19.5,0.211,0.461,12,9,EMB,R,
016,S,ON,b,016_S_b,53,H,53-H,2.512615385,19.8,21.3,31.3,31,28.4,1.46,26.36,0.12,0.269,10,44,EMB,R,
016,V,ON,b,016_V_b,54,E,54-E,1.671087122,18.8,2.9,14.3,1.7,7.9,7.57,9.12,0.157,0.323,12,25,EMB,R,
016,O,ON,b,016_O_b,69,H,69-H,4.012639925,10.7,19.1,29.5,30.6,39,3.94,25.78,0.184,0.435,10,24,EMB,R,
016,V,ON,c,016_V_c,75,F,75-F,5.8875,9.1,18.7,15.5,24.9,40.7,2.54,21.78,0.534,0.623,13,38,JUS,R,
016,O,ON,c,016_O_c,89,C,89-C,5.095572593,3.8,3.4,2.4,25.9,12.8,14.55,9.66,0.228,0.301,22,21,ELP,R,
016,S,ON,c,016_S_c,99,G,99-G,3.986634548,27,1.8,34.4,29.3,35.4,9.15,25.58,0.167,0.293,6,25,ELP,R,
016,S,ON,d,016_S_d,121,A,121-A,1.792427699,12.2,3,10.4,9.1,11.5,1.84,9.24,0.115,0.253,9,30,ELP,R,
016,V,ON,d,016_V_d,126,G,126-G,1.900528388,6.4,2.2,14.3,5.3,21.3,3.76,9.9,0.067,0.133,6,20,LTB,R,
016,O,ON,d,016_O_d,127,F,127-F,1.59806134,18.1,18.6,31.4,16.7,33.6,2.21,23.68,0.158,0.157,10,16,ELP,R,
017,V,ON,a,017_V_a,8,E,8-E,0,1,1,1,1,0.9,0,0.98,NA,NA,NA,NA,NA,,This shouldn't have a plant based on chloro and picture. Should it be 8-G? EB- roots envelope says 8-E: Confirmed Dead
017,S,ON,a,017_S_a,22,D,22-D,2.363049518,2,23.1,12.3,19.7,36.6,6.12,18.74,0.146,0.306,10,12,EMB,R,
017,O,ON,a,017_O_a,35,H,35-H,2.589814598,20,NA,29.3,26.1,35.4,0.89,27.7,0.191,0.326,17,9,EMB,R,
017,O,ON,b,017_O_b,52,G,52-G,2.812232416,46.1,42.9,41.6,42.5,40.5,0.09,42.72,0.268,0.288,9,25,EMB,R,
017,V,ON,b,017_V_b,61,E,61-E,4.135430625,5.5,37.6,32.5,3.3,32.8,16.14,22.34,0.317,0.554,16,48,EMB,R,
017,S,ON,b,017_S_b,62,G,62-G,7.018842082,5.9,10.7,29.4,29.6,39.5,8.13,23.02,0.397,0.497,17,14,EMB,R,
017,V,ON,c,017_V_c,99,H,99-H,3.493946694,23,24.9,25.2,6.9,34.7,3.86,22.94,0.262,0.507,12,15,ELP,R,
017,O,ON,c,017_O_c,105,J,105-J,4.837990082,33.4,31.1,43.4,31.3,26.6,0.98,33.16,0.373,0.496,29,15,MAG,R,"TWO ROOTS, BIGGER ONE CHOSEN"
017,S,ON,c,017_S_c,107,I,107-I,1.611075926,54.4,58.2,45.4,54.4,55.1,0.56,53.5,0.289,0.351,15,28,MAG,R,
017,O,ON,d,017_O_d,124,D,124-D,1.825207365,10.4,24.6,41.3,41.9,40.4,7.69,31.72,0.175,0.26,11,11,LTB,R,
017,V,ON,d,017_V_d,134,A,134-A,2.928074275,37.5,8,43.9,36.7,10.9,8.13,27.4,0.234,0.318,19,21,ELP,R,
017,S,ON,d,017_S_d,134,B,134-B,0,1.1,1,1,1,1,0,1.02,NA,NA,NA,NA,,R,DEAD
018,V,ON,a,018_V_a,2,I,2-I,0.764857403,2.8,23.1,24.3,29.8,22.1,7,20.42,0.079,0.36,2,16,ELP,R,
018,S,ON,a,018_S_a,23,E,23-E,7.457591832,9.3,9,29.5,33.3,22.6,8.26,20.74,,0.665,29,27,EMB,R,
018,O,ON,a,018_O_a,27,J,27-J,3.228002243,2.1,NA,34.5,37.8,45.9,15.69,30.075,0.191,0.303,8,123,MAG,R,
018,V,ON,b,018_V_b,58,I,58-I,1.887222016,31.2,31.8,13.4,30.3,43.6,2.95,30.06,0.182,0.348,10,28,EMB,R,
018,S,ON,b,018_S_b,69,F,69-F,2.764451182,43.5,3.9,32.7,31.3,41.7,10.22,30.62,0.28,0.592,14,30,EMB,R,
018,O,ON,b,018_O_b,70,J,70-J,1.907324527,4.7,15.5,45.9,67.2,24.9,24.43,31.64,0.202,0.459,10,11,EMB,R,
018,V,ON,c,018_V_c,77,F,77-F,3.723900258,43.6,39.2,16.5,11.2,31.8,9.44,28.46,0.35,0.387,20,24,LTB,R,
018,O,ON,c,018_O_c,79,D,79-D,4.355213119,20,38.9,39.5,NA,35.5,3.75,33.475,0.396,0.589,20,32,LTB,R,
018,S,ON,c,018_S_c,90,J,90-J,2.645673216,11.4,4.3,21.7,33.5,35.1,9.12,21.2,0.162,0.354,25,65,LTB,R,
018,S,ON,d,018_S_d,112,C,112-C,0,1.1,1,1,1,1,0,1.02,,NA,NA,NA,NA,R,DEAD
018,V,ON,d,018_V_d,116,G,116-G,2.140701242,18.3,5.5,41.6,43.3,32.4,12.47,28.22,0.252,0.505,14,21,EMB,R,
018,O,ON,d,018_O_d,124,E,124-E,2.822639378,20.4,28.4,40.9,41.8,44.6,3.24,35.22,0.251,0.328,7,38,LTB,R,
019,O,ON,a,019_O_a,3,E,3-E,4.068183922,22.8,17.9,19.4,25.6,26.9,0.56,22.52,0.375,0.452,17,64,GMF,R,
019,V,ON,a,019_V_a,26,G,26-G,0.335410726,2,NA,23.8,27.3,14.8,10.62,16.975,0.048,0.113,3,10,EMB,R,
019,S,ON,a,019_S_a,30,H,30-H,5.133384581,9.8,31,48.4,11.1,39,13.4,27.86,0.322,0.351,15,58,MAG,R,
019,V,ON,b,019_V_b,38,A,38-A,3.50013392,2.8,18.8,36,25.7,26.2,9.33,21.9,0.145,0.265,10,32,EMB,R,
019,S,ON,b,019_S_b,68,E,68-E,1.071727838,17.4,9.8,22.9,10.6,4.5,2.51,13.04,0.147,0.339,7,43,EMB,R,
019,O,ON,b,019_O_b,69,A,69-A,2.708014614,13,13.7,17.2,19,31.4,0.52,18.86,0.069,0.129,3,26,EMB,R,
019,V,ON,c,019_V_c,76,A,76-A,2.069987267,19.2,5.1,30.1,6.5,5.7,9.1,13.32,0.11,0.208,8,42,EMB,R,
019,S,ON,c,019_S_c,94,I,94-I,1.356111053,10.5,4.3,20.3,4.3,39,5.79,15.68,0.039,0.123,7,21,LTB,R,
019,O,ON,c,019_O_c,104,B,104-B,1.158332907,9.3,,9.9,14.4,16.7,0.69,12.575,0.057,0.105,4,52,MAG,R,
019,S,ON,d,019_S_d,109,B,109-B,5.975311953,12.4,3.7,24.8,29.2,34,7.73,20.82,0.567,0.635,9,52,ELP,R,
019,O,ON,d,019_O_d,120,G,120-G,2.502684,16.3,20.7,19,22,22.4,0.31,20.08,0.137,0.345,0,56,EMB,R,
019,V,ON,d,019_V_d,139,B,139-B,2.260135241,6.1,5.8,20.6,5,30.9,6,13.68,0.11,0.264,12,72,MAG,R,
020,O,ON,a,020_O_a,13,B,13-B,1.23273872,45.1,30.8,30.2,31.1,32.3,1.52,33.9,0.104,0.148,13,16,LTB,R,
020,S,ON,a,020_S_a,16,F,16-F,2.845149621,1,35.6,26.9,23,31.4,10.03,23.58,0.374,0.532,16,13,EMB,R,
020,V,ON,a,020_V_a,21,B,21-B,1.645711237,1.4,23.5,4.8,3.2,11.8,12.84,8.94,0.106,0.218,6,20,MAG,R,
020,S,ON,b,020_S_b,43,C,43-C,3.677004405,4.2,37.3,1.9,12.6,20.1,18.75,15.22,0.274,0.466,14,28,ELP,R,
020,O,ON,b,020_O_b,48,J,48-J,2.345943599,7.7,24.5,31.2,27.6,33.3,4.75,24.86,0.12,0.296,7,9,EMB,R,
020,V,ON,b,020_V_b,66,B,66-B,0.414118587,1.6,2.8,NA,3,32.5,0.23,9.975,0.045,0.159,6,11,EMB,R,
020,V,ON,c,020_V_c,75,J,75-J,2.186890244,33.1,36.3,25.7,31.5,34.7,0.62,32.26,0.293,0.383,13,21,JUS,R,
020,S,ON,c,020_S_c,84,F,84-F,6.839965373,13.9,NA,40.9,31.2,41.2,6.53,31.8,0.71,0.751,23,29,MAG,R,
020,O,ON,c,020_O_c,94,D,94-D,2.572328544,8.3,13.8,36.6,21.6,33.7,7.53,22.8,0.214,0.387,11,44,LTB,R,
020,O,ON,d,020_O_d,115,F,115-F,4.498128841,20.3,51.6,47.1,44,50.2,4.8,42.64,0.262,0.452,15,46,EMB,R,
020,V,ON,d,020_V_d,127,C,127-C,4.413911397,9.6,18.9,52.4,20.1,59.5,13.85,32.1,0.346,0.324,12,9,ELP,R,
020,S,ON,d,020_S_d,129,I,129-I,0,1.1,0.9,1,1,0.9,0.01,0.98,NA,NA,NA,NA,,R,DEAD
021,O,ON,a,021_O_a,5,E,5-E,2.665660708,27.1,28.6,23.8,13,33.5,2.14,25.2,0.206,0.272,10,11,EMB,R,
021,S,ON,a,021_S_a,21,E,21-E,5.238069441,3.2,39.8,14.5,2.5,37.7,20.24,19.54,0.329,0.536,16,26,MAG,R,
021,V,ON,a,021_V_a,29,D,29-D,2.292808607,21.9,24.7,0.7,30.8,41,8.77,23.82,0.191,0.325,19,32,LTB,R,
021,V,ON,b,021_V_b,39,B,39-B,1.827988799,34.2,14.2,33.7,31.7,37.4,3.21,30.24,0.145,0.28,9,17,EMB,R,
021,S,ON,b,021_S_b,56,H,56-H,4.573980149,17.7,53.1,39.2,43.5,52.8,5.83,41.26,0.307,0.455,14,21,EMB,R,
021,O,ON,b,021_O_b,62,D,62-D,2.333641815,29.1,5.4,31.3,38.1,37.8,7.81,28.34,0.093,0.259,12,16,EMB,R,
021,S,ON,c,021_S_c,73,I,73-I,3.547549032,36.1,NA,33,40,42.6,0.34,37.925,0.262,0.48,16,1,LTB,R,
021,V,ON,c,021_V_c,90,H,90-H,1.692986131,16.8,19.4,18.1,32.3,23.4,2.38,22,0.16,0.33,17,10,LTB,R,
021,O,ON,c,021_O_c,99,I,99-I,1.565506255,13.9,7.4,4.5,16.3,15.9,2.88,11.6,0.045,0.148,7,17,EMB,R,
021,V,ON,d,021_V_d,128,J,128-J,3.332608355,20.1,19.9,34.5,15.4,29.2,3.07,23.82,0.245,0.396,9,3,ELP,R,
021,S,ON,d,021_S_d,131,B,131-B,2.694902421,30.6,26.5,26.3,26.3,43.1,0.16,30.56,0.344,0.52,14,21,ELP,R,
021,O,ON,d,021_O_d,137,D,137-D,2.79676904,,29.8,42.2,37.6,41.8,1.08,37.85,0.116,0.213,10,42,LTB,R,
022,O,ON,a,022_O_a,4,I,4-I,2.462011261,24.3,26.1,24.6,11.4,42.8,2.17,25.84,0.148,0.326,22,12,AS,R,
022,V,ON,a,022_V_a,15,B,15-B,3.420610761,13.5,39.1,42.8,39.2,37.8,5.45,34.48,0.251,0.288,8,18,LTB,R,
022,S,ON,a,022_S_a,35,G,35-G,5.02439177,27.3,NA,36.8,40.6,44.7,1.34,37.35,0.221,0.352,23,21,EMB,R,
022,V,ON,b,022_V_b,42,B,42-B,3.832634504,11.6,37.1,32.3,33.1,38,4.62,30.42,0.28,0.43,16,37,EMB,R,
022,S,ON,b,022_S_b,45,A,45-A,4.956761536,12.9,39.5,56.1,36.9,32,8.71,35.48,0.46,0.448,28,16,JEH,R,
