Strain,Variety,Source_variety,Rep,Label,Tray,Slot,Location,Plantarea_3weeks_cm^2,Chloro_1,Chloro_2,Chloro_3,Chloro_4,Chloro_5,Chloro_check,Chloro_avg,Rootweight_g,Shootweight_g,Nod_lobe,Nod_unlobed,Nodule_Picker,Morphology,NOTES
083,V,VL,a,083_V_a,34,I,34-I,1.443851346,25.3,NA,2.9,2.1,30.2,17.17,15.125,0.193,0.388,14,25,EMB,R,
083,O,VL,a,083_O_a,36,D,36-D,3.089282605,9.8,12.8,25.7,27.8,32.6,4.3,21.74,0.142,0.299,13,25,EMB,R,
083,S,VL,b,083_S_b,49,J,49-J,2.731198805,44.8,34.9,41.1,43.7,38.6,0.48,40.62,0.255,0.443,17,28,ELP,R,
083,V,VL,b,083_V_b,52,B,52-B,3.237316327,23.6,8,33.7,13.8,44.8,6.45,24.78,0.26,0.546,23,44,EMB,R,
083,O,VL,b,083_O_b,63,D,63-D,1.688164614,15,18.7,49.4,33.2,37.1,8.44,30.68,0.119,0.268,19,7,EMB,R,
083,V,VL,c,083_V_c,75,I,75-I,1.116768293,2.3,7.6,15.3,15.4,19.9,4.01,12.1,0.053,0.179,12,52,JUS,R,
083,S,VL,c,083_S_c,85,H,85-H,0,1.1,1,1,1,1,0,1.02,NA,NA,NA,NA,NA,R,DEAD - No root or shoot envelope found
083,O,VL,c,083_O_c,93,J,93-J,2.830801064,8.8,4.2,18,33.8,33.1,10.53,19.58,0.119,0.293,13,15,EMB,R,
083,S,VL,d,083_S_d,112,B,112-B,3.373207236,36.5,3.3,24.5,35.6,29.6,9.55,25.9,0.507,0.553,15,22,ELP,R,
083,O,VL,d,083_O_d,129,F,129-F,4.534513857,38,37.1,35.9,33.3,42.5,0.12,37.36,0.646,0.612,18,30,SVG,R,
083,V,VL,d,083_V_d,130,H,130-H,2.999115044,27.6,25.1,36.8,30.3,39,0.85,31.76,0.278,0.437,11,28,SVG,R,
084,S,VL,a,084_S_a,9,D,9-D,5.439326409,7.4,31.9,10.3,32.2,14.6,8.84,19.28,0.351,0.459,16,27,AS,R,
084,V,VL,a,084_V_a,31,I,31-I,1.395999779,36.3,7.4,39.3,40.5,39,8.03,32.5,0.112,0.288,12,25,EMB,R,
084,O,VL,a,084_O_a,32,I,32-I,1.487583137,31,31.1,36.2,41,34.4,0.66,34.74,0.332,0.566,21,12,EMB,R,
084,S,VL,b,084_S_b,45,J,45-J,2.39534355,35,37.6,35.8,37.4,45.5,0.04,38.26,0.253,0.332,7,43,JEH,R,
084,O,VL,b,084_O_b,47,D,47-D,1.810511496,5.5,14.6,27.6,18.7,45.1,5.07,22.3,0.26,0.255,11,9,ELP,R,
084,V,VL,b,084_V_b,53,I,53-I,1.020923077,1.3,1,3.3,10.7,26.4,5.04,8.54,0.028,0.104,7,10,EMB,R,
084,V,VL,c,084_V_c,86,H,86-H,1.388246073,1.2,1,24.6,14.3,29.2,12.65,14.06,0.156,0.285,12,51,MAG,R,
084,S,VL,c,084_S_c,95,I,95-I,0.437548993,15.9,3.2,28.7,26.1,16,7.26,17.98,0.072,0.222,12,16,ELP,R,
